name,longitude,latitude,webcam,notes
Aquatic centre,174.0618467,-39.05421791,,
Karioitahi,174.654454,-37.2838156,,
Cliffs,178.0376959,-38.68651473,,
Whatipu,174.5054626,-37.04723096,,
Raglan - Whale Bay,174.7988319,-37.82300583,,
Ruapuke,174.7797346,-37.93929003,,
Piha,174.4673538,-36.95606487,,
Maori bay,174.4216061,-36.83388215,,
Muriwai Beach,174.4340515,-36.83017243,,
Raglan - Manu Bay,174.8144531,-37.82131085,,
Bethells,174.4453812,-36.90062639,,
Raglan - Indicators,174.7929096,-37.82290413,,
Karekare,174.4714737,-36.98911664,,
Mikotai,174.0293169,-39.05427623,,
Stent Road,173.7745285,-39.22693426,,
Break water,174.0422988,-39.05137682,,
Fitzroy Beach,174.0965652,-39.04305285,,
Otaki River mouth,175.1006007,-40.75891653,,
Back Beach,174.0150744,-39.06826339,,
Blacks,177.7999878,-39.07677595,,
Titahi Bay,174.8345375,-41.10561377,,
Airport Rights,174.8071146,-41.33719517,,
Paekakariki,174.960022,-40.9824899,,
Breaker Bay,174.8315066,-41.33286111,,
Houghton Bay,174.7850186,-41.34226596,,
The Gap,176.2223339,-40.90783689,,
Waimarama,177.0027924,-39.81394243,,
The Island (Island Bay),174.7754967,-41.349809,,
Lyall Bay,174.8034668,-41.33502818,http://www.geeksonwheels.co.nz/about/web-cam/,
Waipatiki,176.977011,-39.30189322,,
Tora,175.5152607,-41.50722751,,
Waikokopu bay,177.8297496,-39.07379417,,
Teawanga,176.9842529,-39.63365478,,
Ocean  beach,177.0254517,-39.75154536,,
Haumoana,176.9463158,-39.5976366,,
The rock,178.0510104,-38.70030651,,
Big River,177.9471016,-38.71150044,,
Farmers - Tokomaru Bay,178.3239841,-38.12598215,,
Anaura Bay,178.3114958,-38.2318091,,
Wainui Beach,178.0782509,-38.68530876,,
Sponge bay,178.0579734,-38.70005532,,
The Island,178.0472231,-38.70600835,,
Makarori Point,178.1076479,-38.66343037,,
Roberts rd,178.0131054,-38.67174863,,
Pines,178.0816948,-38.67790503,,
The pipe (midway beach),178.0010033,-38.67545929,,
Gizzy Pipe,178.0003595,-38.67320611,,
Mahanga,177.8874707,-39.01613279,,
Whangamata Estuary,175.8802986,-37.20319283,,
Ohope Beach West End,177.0251942,-37.95543267,,
Opotere,175.886752,-37.10480454,,
Blowhole,176.1842036,-37.63013932,,
Clark Island,175.8934307,-37.21329291,,
Homunga Bay,175.9374619,-37.36224414,,
Matata,176.710968,-37.87105925,,
Newdicks Beach,176.4709854,-37.74384267,,
Whangamata Beach,175.6988525,-37.39634613,,
Waikawau Bay,175.5253029,-36.59802695,,
Waihi Beach,175.9460449,-37.39975548,,
Tairua,175.8618879,-36.99524884,,
Tay street,176.1996746,-37.6470972,,
pauanui,175.8702564,-37.01831642,,
Hot water Beach,175.825367,-36.87989523,,
Mount Maunganui,176.2025928,-37.64291756,,
Tawharanui,174.8374557,-36.36905125,,
Matarangi,175.6566024,-36.72924005,,
Waiheke Is,175.0843048,-36.78708525,,
Te Arai Point,174.6519756,-36.16552728,,
Taupo Bay,173.7118292,-34.99386313,,
Pataua,174.5229721,-35.71128386,,
Takapuna,174.7798634,-36.79120947,,
Orewa Beach,174.6997833,-36.590998,,
Omaha,174.7818804,-36.33901625,,
Langs beach,174.5345592,-36.04515201,,
Mangawhai Heads,174.5986319,-36.08097961,,
Long Bay,174.7527838,-36.68832122,,
Ocean Beach,174.5735908,-35.83695045,,
Goat Island Reef,174.7927165,-36.26966228,,
Daniels Reef,174.8037672,-36.29883627,,
Forestry,174.6564388,-36.17411907,,
Sandy Bay,174.4766235,-35.55680897,,
Mukerau Beach,173.0896479,-35.16827144,,
Shipwrecks Bay,173.119297,-35.17763188,,
Surf Snowdonia,53.189844,-3.841995,"src=""http://magicseaweed.com/Live-Surf-Snowdonia-Webcam/72/Embed/"" width=""780"" height=""439"" frameborder=""0"">",
wild pear beach,51.21172278,-4.034278393,,
Boneyards,51.13175398,-4.241752625,,
Woody Bay,51.22561975,-3.895726204,,
Down End Point,51.12507467,-4.245700836,,
noahs right,50.93821614,-4.548168182,,
Westward Ho!,51.04581896,-4.231796265,,
Woolacombe bay,51.16946853,-4.216089249,,
Lynmouth,51.23178468,-3.831031322,,
Putsborough Beach,51.14397892,-4.220981598,,
Saunton Sands,51.10977327,-4.226989746,,
Coombesgate Beach,51.17762116,-4.216861725,,
Croyde,51.12860298,-4.244112968,"src=""http://magicseaweed.com//Live-Croyde-Beach-Webcam/7/Embed/"" width=""780"" height=""439"" frameborder=""0"">","World-class, low tide, A-frame barrels. Probably the best beachbreak in the UK on its day. Less shape at other stages of tide. Highly consistent beach that can get dangerously crowded. Strong rips at size.
Full compliment of surf shops and schools. Parking on southern headland, by the campsites or National Trust car park at Baggy Point."
Great Western,50.41588104,-5.076713562,,
Hayle Rivermouth,50.2007076,-5.427868366,,
Watergate Bay,50.4455901,-5.043411255,,
Chapel Porth,50.30052492,-5.235328674,,
Zorbas Reef,50.414083,-5.118834972,,
The Cribber,50.42574512,-5.103578568,,
Whipsiderry,50.43137691,-5.053453445,,
St. Ives harbour wall.,50.21140533,-5.475912094,,
Towan,50.41594257,-5.084738731,,
"Tolcarne, The Wedge",50.4181473,-5.073822141,,
St Agnes,50.32124436,-5.20108223,,
Sennen,50.08267329,-5.698513985,"src=""http://magicseaweed.com//Live-Sennen-Webcam/65/Embed/"" width=""780"" height=""439"" frameborder=""0"">",
Mousehole Reef,50.08122064,-5.537876487,,
Porth Beach,50.42534868,-5.062551498,,
Portreath,50.26125383,-5.289230347,,
Penhale,50.39392387,-5.143125057,,
Porthmeor,50.21586802,-5.482692719,,
Porthtowan,50.28496571,-5.24689436,"src=""http://magicseaweed.com//Live-Porthtowan-Webcam/5/Embed/"" width=""780"" height=""439"" frameborder=""0"">",
Lusty Glaze,50.42201643,-5.063989162,,
Carbis Bay,50.19877023,-5.461192131,,
Breakwater,50.21559666,-5.475456789,,
Crantock,50.40851753,-5.124950409,,
"Droskyn, Perranporth",50.35028023,-5.157351494,,
Gwithian,50.23446948,-5.398406982,,
Fistral,50.41737822,-5.1019907,,
Preston Beach,50.44364287,-3.556212187,,
Thurlsestone,50.26670627,-3.870545626,,
Thurlestone,50.26665827,-3.872766495,,
Whitsand Bay,50.35416859,-4.278359413,"src=""http://magicseaweed.com//Live-Whitsand-Bay-Webcam/22/Embed/"" width=""780"" height=""439"" frameborder=""0"">","7km of beachbreak peaks, loads of room so easy to find a quiet peak.
Busy with Plymouth surfers, access can be limited in parts by the military. Access from Tregantle, or various other points along the length of the beach. No parking near the beach."
Beer Point,50.68547409,-3.095397949,,
Bantham ,50.27801382,-3.886928558,"src=""http://magicseaweed.com//Live-Bantham-Webcam/11/Embed/"" width=""780"" height=""439"" frameborder=""0"">","Consistent, classy beachbreak with sandbars sculpted by the River Avon. Right into the rivermouth and a peak on the main beach.
South DevonÍs best beach is always busy. Strong rips at size. Parking in the village and on Bigbury side of the river."
Mothecombe,50.30926875,-3.952760696,,
BoneYard Exmouth,50.60866704,-3.369970322,,
Challabrough,50.28846183,-3.898773193,,
